"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jul 30 12:11:40 EEST 2022","Sat Jul 30 12:11:40 EEST 2022","0","","main","","","","test_parametrize_with_multiply_mark[Three plus five]",""
"failed","Sat Jul 30 12:11:40 EEST 2022","Sat Jul 30 12:11:40 EEST 2022","1","","main","","","","test_foo[3-0]",""
"passed","Sat Jul 30 12:11:29 EEST 2022","Sat Jul 30 12:11:40 EEST 2022","10242","","main","","","","test_req1",""
"failed","Sat Jul 30 12:11:40 EEST 2022","Sat Jul 30 12:11:40 EEST 2022","0","","main","","","","test_foo[2-1]",""
"passed","Sat Jul 30 12:11:40 EEST 2022","Sat Jul 30 12:11:40 EEST 2022","0","","main","","","","test_parametrize_with_multiply_mark[six plus nine]",""
"broken","Sat Jul 30 12:11:29 EEST 2022","Sat Jul 30 12:11:29 EEST 2022","239","","main","","","","test_check_ccy[RUB]",""
"passed","Sat Jul 30 12:11:40 EEST 2022","Sat Jul 30 12:11:40 EEST 2022","0","","main","","","","test_parametrize_with_mark_single[3]",""
"failed","Sat Jul 30 12:11:40 EEST 2022","Sat Jul 30 12:11:40 EEST 2022","1","","main","","","","test_parametrize_with_mark_single[1]",""
"passed","Sat Jul 30 12:11:28 EEST 2022","Sat Jul 30 12:11:29 EEST 2022","251","","main","","","","test_check_ccy[USD]",""
"passed","Sat Jul 30 12:11:29 EEST 2022","Sat Jul 30 12:11:29 EEST 2022","232","","main","","","","test_check_ccy[EUR]",""
"failed","Sat Jul 30 12:11:40 EEST 2022","Sat Jul 30 12:11:40 EEST 2022","1","","main","","","","test_foo[3-1]",""
"failed","Sat Jul 30 12:11:40 EEST 2022","Sat Jul 30 12:11:40 EEST 2022","0","","main","","","","test_parametrize_with_multiply_mark[five by five]",""
"failed","Sat Jul 30 12:11:40 EEST 2022","Sat Jul 30 12:11:40 EEST 2022","0","","main","","","","test_foo[2-0]",""
"passed","Sat Jul 30 12:11:40 EEST 2022","Sat Jul 30 12:11:40 EEST 2022","239","","main","","","","test_req2",""
"passed","Sat Jul 30 12:11:29 EEST 2022","Sat Jul 30 12:11:29 EEST 2022","234","","main","","","","test_check_ccy[BTC]",""
"failed","Sat Jul 30 12:11:40 EEST 2022","Sat Jul 30 12:11:40 EEST 2022","0","","main","","","","test_parametrize_with_mark_single[2]",""
